"id","business_name","phone","business_page","category","website","address","rating","keyword","place"
"1000923513787","Martins Construction","(818) 518-6002","https://www.yellowpages.com/los-angeles-ca/mip/martins-construction-139207?lid=1000923513787","Real Estate Developers","http://www.martinsconstruction.net","5365 San Vicente BlvdLos Angeles, CA 90019","24","development","Los+Angeles,+CA"
"1001827610982","Plans and Permits Express","(562) 991-9537","https://www.yellowpages.com/los-angeles-ca/mip/plans-and-permits-express-542519057?lid=1001827610982","Real Estate Developers","","1055 W 7th St Ste 3300Los Angeles, CA 90017","","development","Los+Angeles,+CA"
"465951345","Ratkovich Co. Inc.","(213) 486-6500","https://www.yellowpages.com/los-angeles-ca/mip/ratkovich-co-inc-465951345?lid=465951345","Real Estate Developers,Home Builders","","800 Wilshire Blvd Ste 1425Los Angeles, CA 90017","","development","Los+Angeles,+CA"
"463500545","PE Lofts","(213) 225-2225","https://www.yellowpages.com/los-angeles-ca/mip/pe-lofts-463500545?lid=463500545","Real Estate Developers","","700 S Flower St Ste 2400Los Angeles, CA 90017","","development","Los+Angeles,+CA"
"1410008","Aurora Developement","(213) 995-9925","https://www.yellowpages.com/los-angeles-ca/mip/aurora-developement-1410008?lid=1410008","Real Estate Developers","http://www.aurora-development.com","801 S Grand AveLos Angeles, CA 90017","","development","Los+Angeles,+CA"
"7797012","McCormack Baron Salazar","(213) 236-2660","https://www.yellowpages.com/los-angeles-ca/mip/mccormack-baron-salazar-7797012?lid=7797012","Real Estate Developers","http://www.mccormackbaron.com","801 S Grand Ave Ste 780Los Angeles, CA 90017","","development","Los+Angeles,+CA"
"463419158","Lowe Enterprises Inc","(213) 488-1971","https://www.yellowpages.com/los-angeles-ca/mip/lowe-enterprises-inc-463419158?lid=463419158","Real Estate Developers","http://loweenterprises.com","1651 Bay StLos Angeles, CA 90021","","development","Los+Angeles,+CA"
"468181009","Hanil Development Inc","(213) 387-0111","https://www.yellowpages.com/los-angeles-ca/mip/hanil-development-inc-468181009?lid=468181009","Real Estate Developers","http://www.aromaresort.com","3680 Wilshire Blvd Ste B01Los Angeles, CA 90010","","development","Los+Angeles,+CA"
"474872957","Jen Stein","(323) 762-2512","https://www.yellowpages.com/los-angeles-ca/mip/jen-stein-474872957?lid=474872957","Real Estate Developers","http://www.jenstein.org","118 N Larchmont BlvdLos Angeles, CA 90004","","development","Los+Angeles,+CA"
"8711654","Urban Smart Growth","(323) 461-6611","https://www.yellowpages.com/los-angeles-ca/mip/urban-smart-growth-8711654?lid=8711654","Real Estate Developers","http://urbansmartgrowth.net","1746 N Cherokee Ave Ste 1zLos Angeles, CA 90028","","development","Los+Angeles,+CA"
